Miasto,Data i godzina,Temperatura,Opady,Wilgodnoœæ
Rzeszów,2021-07-07 11:00:00+02:00,29.1,53.8,0
Sandomierz,2021-07-07 11:00:00+02:00,29.7,46.8,0
Siedlce,2021-07-07 11:00:00+02:00,29.2,43.8,0
S³ubice,2021-07-07 11:00:00+02:00,17.7,93.7,0.4
Sulejów,2021-07-07 11:00:00+02:00,30.5,40.8,0
Suwa³ki,2021-07-07 11:00:00+02:00,27.7,50.8,0
Szczecin,2021-07-07 11:00:00+02:00,17.7,91.9,1
Szczecinek,2021-07-07 11:00:00+02:00,22.1,74.2,0
Œnie¿ka,2021-07-07 11:00:00+02:00,10.2,100.0,0.2
Œwinoujœcie,2021-07-07 11:00:00+02:00,18.6,89.6,0.7
Tarnów,2021-07-07 11:00:00+02:00,31.7,35.8,0
Terespol,2021-07-07 11:00:00+02:00,28.9,47.0,0
Toruñ,2021-07-07 11:00:00+02:00,30.6,39.7,0
Ustka,2021-07-07 11:00:00+02:00,20.9,82.6,0
Warszawa,2021-07-07 11:00:00+02:00,29.7,46.8,0
Wieluñ,2021-07-07 11:00:00+02:00,30.8,35.8,0
W³odawa,2021-07-07 11:00:00+02:00,28.5,51.0,0
Wroc³aw,2021-07-07 11:00:00+02:00,25.1,58.1,0
Zakopane,2021-07-07 11:00:00+02:00,25.7,45.9,0
Zamoœæ,2021-07-07 11:00:00+02:00,28.7,51.0,0
Zielona Góra,2021-07-07 11:00:00+02:00,16.2,93.1,0
Bia³ystok,2021-07-07 12:00:00+02:00,28.8,47.0,0
Bielsko Bia³a,2021-07-07 11:00:00+02:00,30.1,31.0,0
Chojnice,2021-07-07 12:00:00+02:00,24.6,66.4,0
Czêstochowa,2021-07-07 12:00:00+02:00,31.4,34.8,0
Elbl¹g,2021-07-07 12:00:00+02:00,27.3,65.2,0
Gdañsk,2021-07-07 12:00:00+02:00,24.9,68.2,0
Gorzów,2021-07-07 12:00:00+02:00,17.1,91.9,0
Hel,2021-07-07 12:00:00+02:00,25.6,63.3,0
Jelenia Góra,2021-07-07 12:00:00+02:00,15.5,93.7,0
Kalisz,2021-07-07 12:00:00+02:00,31.5,37.9,0
Kasprowy Wierch,2021-07-07 12:00:00+02:00,15.1,74.6,0
Katowice,2021-07-07 11:00:00+02:00,30.3,35.0,0
Kêtrzyn,2021-07-07 12:00:00+02:00,29.2,50.8,0
Kielce,2021-07-07 12:00:00+02:00,30.7,40.8,0
K³odzko,2021-07-07 12:00:00+02:00,22.7,70.5,0
Ko³o,2021-07-07 11:00:00+02:00,30.3,36.0,0
Ko³obrzeg,2021-07-07 12:00:00+02:00,18.7,78.7,0.01
Koszalin,2021-07-07 12:00:00+02:00,19.5,83.5,0
Kozienice,2021-07-07 12:00:00+02:00,30.9,43.9,0
Kraków,2021-07-07 12:00:00+02:00,31.5,35.7,0
Krosno,2021-07-07 12:00:00+02:00,29.1,41.0,0
Legnica,2021-07-07 12:00:00+02:00,18.3,76.6,0
Lesko,2021-07-07 12:00:00+02:00,28.4,43.0,0
Leszno,2021-07-07 12:00:00+02:00,19.9,74.4,0
Lêbork,2021-07-07 11:00:00+02:00,24.2,57.2,0
Lublin,2021-07-07 12:00:00+02:00,29.5,48.9,0
£eba,2021-07-07 12:00:00+02:00,21.5,85.9,0.01
£ódŸ,2021-07-07 12:00:00+02:00,30.3,42.9,0
Miko³ajki,2021-07-07 12:00:00+02:00,28.9,53.1,0
M³awa,2021-07-07 12:00:00+02:00,29.3,43.0,0
Nowy S¹cz,2021-07-07 12:00:00+02:00,30.8,38.7,0
Olsztyn,2021-07-07 12:00:00+02:00,30,42.8,0
Opole,2021-07-07 12:00:00+02:00,30,42.0,0
Ostro³êka,2021-07-07 11:00:00+02:00,29.7,46.2,0
Pi³a,2021-07-07 12:00:00+02:00,21.1,67.6,0
Platforma,2021-07-07 12:00:00+02:00,20.5,79.4,0
P³ock,2021-07-07 12:00:00+02:00,31,36.8,0.01
Poznañ,2021-07-07 12:00:00+02:00,22.8,58.4,0
Przemyœl,2021-07-07 12:00:00+02:00,28.3,57.2,0
Racibórz,2021-07-07 12:00:00+02:00,32,34.9,0
Resko,2021-07-07 12:00:00+02:00,17.3,90.7,0.01
Rzeszów,2021-07-07 12:00:00+02:00,29.4,50.8,0
Sandomierz,2021-07-07 12:00:00+02:00,29.6,45.9,0
Siedlce,2021-07-07 12:00:00+02:00,30.1,44.0,0
S³ubice,2021-07-07 12:00:00+02:00,18.1,86.7,0.4
Sulejów,2021-07-07 12:00:00+02:00,31.1,39.8,0
Suwa³ki,2021-07-07 12:00:00+02:00,28.7,50.1,0
Szczecin,2021-07-07 12:00:00+02:00,18.2,90.8,1
Szczecinek,2021-07-07 12:00:00+02:00,19.7,88.0,0
Œnie¿ka,2021-07-07 12:00:00+02:00,8.4,100.0,0.2
Œwinoujœcie,2021-07-07 12:00:00+02:00,18.2,86.7,0.7
Tarnów,2021-07-07 12:00:00+02:00,32.2,32.7,0
Terespol,2021-07-07 11:00:00+02:00,28.9,47.0,0
Toruñ,2021-07-07 12:00:00+02:00,30.7,39.8,0
Ustka,2021-07-07 12:00:00+02:00,20.6,83.7,0
Warszawa,2021-07-07 12:00:00+02:00,30.4,47.9,0
Wieluñ,2021-07-07 12:00:00+02:00,31.3,34.8,0
W³odawa,2021-07-07 12:00:00+02:00,28.7,52.0,0
Wroc³aw,2021-07-07 12:00:00+02:00,21.8,64.2,0
Zakopane,2021-07-07 12:00:00+02:00,26.9,47.1,0
Zamoœæ,2021-07-07 12:00:00+02:00,28.6,54.0,0
Zielona Góra,2021-07-07 12:00:00+02:00,16.2,94.9,0
