Miasto, Data i godzina, Temperatura,Opady,Wilgodnoœæ
Ostro³êka,2021-07-06 11:00:00+02:00,27.1,54.5,6.6
Pi³a,2021-07-06 11:00:00+02:00,27,43.0,0
Platforma,2021-07-06 11:00:00+02:00,19.4,82.5,0
P³ock,2021-07-06 11:00:00+02:00,25.1,49.0,0
Poznañ,2021-07-06 11:00:00+02:00,26.5,47.1,1.3
Przemyœl,2021-07-06 11:00:00+02:00,26.9,50.3,0
Racibórz,2021-07-06 11:00:00+02:00,27.4,40.9,0.01
Resko,2021-07-06 11:00:00+02:00,26.1,51.2,0.2
Rzeszów,2021-07-06 11:00:00+02:00,27.6,39.1,0
Sandomierz,2021-07-06 11:00:00+02:00,26.9,51.0,0
Siedlce,2021-07-06 11:00:00+02:00,27.1,46.0,0
S³ubice,2021-07-06 11:00:00+02:00,27,46.0,0.8
Sulejów,2021-07-06 11:00:00+02:00,26.9,45.9,0.01
Suwa³ki,2021-07-06 11:00:00+02:00,26.4,52.9,17.1
Szczecin,2021-07-06 11:00:00+02:00,26.6,49.0,6
Szczecinek,2021-07-06 11:00:00+02:00,26.5,47.7,1.3
Œnie¿ka,2021-07-06 11:00:00+02:00,13.2,81.7,1.3
Œwinoujœcie,2021-07-06 11:00:00+02:00,27.1,49.1,23.2
Tarnów,2021-07-06 11:00:00+02:00,27.6,40.9,0
Terespol,2021-07-06 11:00:00+02:00,27.8,46.1,0
Toruñ,2021-07-06 11:00:00+02:00,27.4,40.9,0
Ustka,2021-07-06 11:00:00+02:00,25.7,46.0,7.1
Warszawa,2021-07-06 11:00:00+02:00,27.1,48.1,0
Wieluñ,2021-07-06 11:00:00+02:00,26.3,44.0,0
W³odawa,2021-07-06 11:00:00+02:00,27.2,50.1,0
Wroc³aw,2021-07-06 11:00:00+02:00,28.2,41.1,0.01
Zakopane,2021-07-06 11:00:00+02:00,22,60.1,0
Zamoœæ,2021-07-06 11:00:00+02:00,27.1,54.1,0
Zielona Góra,2021-07-06 11:00:00+02:00,25.3,52.0,0.01
Bia³ystok,2021-07-06 12:00:00+02:00,26.4,54.0,2.5
Bielsko Bia³a,2021-07-06 11:00:00+02:00,26,48.2,0
Chojnice,2021-07-06 12:00:00+02:00,26.6,42.1,0.01
Czêstochowa,2021-07-06 12:00:00+02:00,27.8,39.1,0
Elbl¹g,2021-07-06 11:00:00+02:00,24.2,60.2,15.5
Gdañsk,2021-07-06 12:00:00+02:00,26.6,53.0,1.4
Gorzów,2021-07-06 12:00:00+02:00,27.8,44.1,5
Hel,2021-07-06 12:00:00+02:00,26.1,67.1,0.01
Jelenia Góra,2021-07-06 12:00:00+02:00,26.6,45.0,2.1
Kalisz,2021-07-06 12:00:00+02:00,27.5,40.9,0.01
Kasprowy Wierch,2021-07-06 11:00:00+02:00,13.6,77.4,0.01
Katowice,2021-07-06 12:00:00+02:00,27.7,38.1,0
Kêtrzyn,2021-07-06 12:00:00+02:00,26.6,50.9,0.5
Kielce,2021-07-06 12:00:00+02:00,26.2,43.1,0
K³odzko,2021-07-06 12:00:00+02:00,25.9,54.9,0.01
Ko³o,2021-07-06 11:00:00+02:00,27.4,38.8,0
Ko³obrzeg,2021-07-06 12:00:00+02:00,27.6,46.1,6.1
Koszalin,2021-07-06 12:00:00+02:00,26.8,47.1,38.7
Kozienice,2021-07-06 12:00:00+02:00,28.3,45.0,0
Kraków,2021-07-06 12:00:00+02:00,27.8,39.1,0
Krosno,2021-07-06 12:00:00+02:00,26.9,42.1,0
Legnica,2021-07-06 12:00:00+02:00,28.7,40.9,0.01
Lesko,2021-07-06 12:00:00+02:00,26.6,46.1,0
Leszno,2021-07-06 12:00:00+02:00,27.3,50.1,0.8
Lêbork,2021-07-06 12:00:00+02:00,27,47.2,1.8
Lublin,2021-07-06 12:00:00+02:00,26.9,47.2,0.01
£eba,2021-07-06 12:00:00+02:00,23.7,69.3,0.5
£ódŸ,2021-07-06 12:00:00+02:00,27.4,46.0,0
Miko³ajki,2021-07-06 12:00:00+02:00,27.1,46.0,18.4
M³awa,2021-07-06 12:00:00+02:00,27.2,43.9,0.01
Nowy S¹cz,2021-07-06 12:00:00+02:00,28.3,37.9,0
Olsztyn,2021-07-06 12:00:00+02:00,26.8,45.0,0
Opole,2021-07-06 12:00:00+02:00,28.4,39.0,0.01
Ostro³êka,2021-07-06 11:00:00+02:00,27.1,54.5,6.6
Pi³a,2021-07-06 12:00:00+02:00,27.9,37.1,0
Platforma,2021-07-06 12:00:00+02:00,20.1,76.3,0
P³ock,2021-07-06 12:00:00+02:00,26.4,41.2,0
Poznañ,2021-07-06 12:00:00+02:00,27.9,38.9,1.3
Przemyœl,2021-07-06 12:00:00+02:00,26.5,53.6,0
Racibórz,2021-07-06 12:00:00+02:00,27.9,39.9,0.01
Resko,2021-07-06 12:00:00+02:00,26.6,49.0,0.2
Rzeszów,2021-07-06 12:00:00+02:00,27.8,39.9,0
Sandomierz,2021-07-06 12:00:00+02:00,27.2,49.1,0
Siedlce,2021-07-06 12:00:00+02:00,27.5,44.9,0
S³ubice,2021-07-06 12:00:00+02:00,28.1,41.9,0.8
Sulejów,2021-07-06 11:00:00+02:00,26.9,45.9,0.01
Suwa³ki,2021-07-06 12:00:00+02:00,26.5,50.9,17.1
Szczecin,2021-07-06 12:00:00+02:00,26.3,51.2,6
Szczecinek,2021-07-06 12:00:00+02:00,26.6,45.6,1.3
Œnie¿ka,2021-07-06 12:00:00+02:00,13.6,73.3,1.3
Œwinoujœcie,2021-07-06 12:00:00+02:00,27.9,48.0,23.2
Tarnów,2021-07-06 12:00:00+02:00,28.1,41.9,0
Terespol,2021-07-06 12:00:00+02:00,27.3,53.1,0
Toruñ,2021-07-06 12:00:00+02:00,28.8,39.9,0
Ustka,2021-07-06 12:00:00+02:00,26.6,44.1,7.1
Warszawa,2021-07-06 12:00:00+02:00,27.3,45.1,0
Wieluñ,2021-07-06 12:00:00+02:00,27.3,45.1,0
W³odawa,2021-07-06 12:00:00+02:00,27.3,46.0,0
Wroc³aw,2021-07-06 12:00:00+02:00,28.6,42.0,0.01
Zakopane,2021-07-06 11:00:00+02:00,22,60.1,0
Zamoœæ,2021-07-06 12:00:00+02:00,27.4,47.0,0
Zielona Góra,2021-07-06 12:00:00+02:00,26.8,45.9,0.01
Bia³ystok,2021-07-06 13:00:00+02:00,27.3,46.9,2.5
Bielsko Bia³a,2021-07-06 13:00:00+02:00,27.4,45.1,0
Chojnice,2021-07-06 13:00:00+02:00,26.7,42.1,0.01
Czêstochowa,2021-07-06 13:00:00+02:00,28.4,34.1,0
Elbl¹g,2021-07-06 13:00:00+02:00,25.3,51.0,15.5
Gdañsk,2021-07-06 13:00:00+02:00,27.4,53.1,1.4
Gorzów,2021-07-06 13:00:00+02:00,28.2,43.9,5
Hel,2021-07-06 13:00:00+02:00,26.1,66.2,0.01
Jelenia Góra,2021-07-06 13:00:00+02:00,27.4,45.1,2.1
Kalisz,2021-07-06 13:00:00+02:00,27.9,39.9,0.01
Kasprowy Wierch,2021-07-06 13:00:00+02:00,13.7,86.9,0.01
Katowice,2021-07-06 12:00:00+02:00,27.7,38.1,0
Kêtrzyn,2021-07-06 13:00:00+02:00,27.3,50.1,0.5
Kielce,2021-07-06 13:00:00+02:00,26.6,44.1,0
K³odzko,2021-07-06 13:00:00+02:00,26.7,53.0,0.01
Ko³o,2021-07-06 12:00:00+02:00,28.1,35.2,0
Ko³obrzeg,2021-07-06 13:00:00+02:00,27.3,46.0,6.1
Koszalin,2021-07-06 13:00:00+02:00,27.7,42.9,38.7
Kozienice,2021-07-06 13:00:00+02:00,28.3,43.9,0
Kraków,2021-07-06 13:00:00+02:00,28.5,43.9,0
Krosno,2021-07-06 13:00:00+02:00,27.1,40.0,0
Legnica,2021-07-06 13:00:00+02:00,29.6,39.0,0.01
Lesko,2021-07-06 13:00:00+02:00,26.8,43.0,0
Leszno,2021-07-06 13:00:00+02:00,28.5,45.1,0.8
Lêbork,2021-07-06 13:00:00+02:00,27.6,46.1,1.8
Lublin,2021-07-06 13:00:00+02:00,26.9,47.2,0.01
£eba,2021-07-06 13:00:00+02:00,23.8,66.3,0.5
£ódŸ,2021-07-06 13:00:00+02:00,27.8,44.1,0
Miko³ajki,2021-07-06 13:00:00+02:00,27.5,44.9,18.4
M³awa,2021-07-06 13:00:00+02:00,26.6,48.0,0.01
Nowy S¹cz,2021-07-06 13:00:00+02:00,29,39.9,0
Olsztyn,2021-07-06 13:00:00+02:00,27.2,46.9,0
Opole,2021-07-06 13:00:00+02:00,29.1,36.9,0.01
Ostro³êka,2021-07-06 12:00:00+02:00,27.3,51.1,6.6
Pi³a,2021-07-06 13:00:00+02:00,28.4,37.0,0
Platforma,2021-07-06 13:00:00+02:00,20.4,74.4,0
P³ock,2021-07-06 13:00:00+02:00,27.7,38.1,0
Poznañ,2021-07-06 13:00:00+02:00,28.2,37.9,1.3
Przemyœl,2021-07-06 13:00:00+02:00,27.2,50.1,0
Racibórz,2021-07-06 12:00:00+02:00,27.9,39.9,0.01
Resko,2021-07-06 13:00:00+02:00,27.1,49.1,0.2
Rzeszów,2021-07-06 13:00:00+02:00,28.9,40.9,0
Sandomierz,2021-07-06 13:00:00+02:00,27.6,47.0,0
Siedlce,2021-07-06 13:00:00+02:00,27.9,44.1,0
S³ubice,2021-07-06 13:00:00+02:00,29,41.0,0.8
Sulejów,2021-07-06 13:00:00+02:00,27.9,41.0,0.01
Suwa³ki,2021-07-06 13:00:00+02:00,26.3,53.9,17.1
Szczecin,2021-07-06 13:00:00+02:00,27.3,49.1,6
Szczecinek,2021-07-06 13:00:00+02:00,27.6,44.9,1.3
Œnie¿ka,2021-07-06 13:00:00+02:00,14.7,72.5,1.3
Œwinoujœcie,2021-07-06 13:00:00+02:00,28.7,46.0,23.2
Tarnów,2021-07-06 13:00:00+02:00,28.8,39.9,0
Terespol,2021-07-06 13:00:00+02:00,28.4,46.9,0
Toruñ,2021-07-06 13:00:00+02:00,28.7,39.9,0
Ustka,2021-07-06 13:00:00+02:00,24,73.5,7.1
Warszawa,2021-07-06 13:00:00+02:00,27.5,42.0,0
Wieluñ,2021-07-06 13:00:00+02:00,28.5,42.0,0
W³odawa,2021-07-06 13:00:00+02:00,28.3,48.1,0
Wroc³aw,2021-07-06 13:00:00+02:00,28.7,39.9,0.01
Zakopane,2021-07-06 13:00:00+02:00,24.1,52.0,0
Zamoœæ,2021-07-06 13:00:00+02:00,27.7,46.1,0
Zielona Góra,2021-07-06 13:00:00+02:00,27.6,46.1,0.01
Bia³ystok,2021-07-06 14:00:00+02:00,27.6,47.0,2.5
Bielsko Bia³a,2021-07-06 14:00:00+02:00,27.4,45.1,0
Chojnice,2021-07-06 14:00:00+02:00,27.3,41.1,0.01
Czêstochowa,2021-07-06 14:00:00+02:00,28.6,35.1,0
Elbl¹g,2021-07-06 14:00:00+02:00,26,50.2,15.5
Gdañsk,2021-07-06 14:00:00+02:00,27.3,49.1,1.4
Gorzów,2021-07-06 14:00:00+02:00,28.6,43.1,5
Hel,2021-07-06 14:00:00+02:00,25.9,67.1,0.01
Jelenia Góra,2021-07-06 14:00:00+02:00,27.6,44.9,2.1
Kalisz,2021-07-06 14:00:00+02:00,29.1,36.9,0.01
Kasprowy Wierch,2021-07-06 14:00:00+02:00,14.4,80.8,0.01
Katowice,2021-07-06 14:00:00+02:00,28.4,35.0,0
Kêtrzyn,2021-07-06 14:00:00+02:00,27.4,49.2,0.5
Kielce,2021-07-06 14:00:00+02:00,28,39.9,0
K³odzko,2021-07-06 14:00:00+02:00,26.7,50.0,0.01
Ko³o,2021-07-06 13:00:00+02:00,29,30.0,0
Ko³obrzeg,2021-07-06 14:00:00+02:00,28.2,43.9,6.1
Koszalin,2021-07-06 14:00:00+02:00,27.3,45.1,38.7
Kozienice,2021-07-06 14:00:00+02:00,27.7,44.0,0
Kraków,2021-07-06 14:00:00+02:00,28.9,39.9,0
Krosno,2021-07-06 14:00:00+02:00,27.8,39.1,0
Legnica,2021-07-06 14:00:00+02:00,30.1,35.9,0.01
Lesko,2021-07-06 14:00:00+02:00,27.5,40.1,0
Leszno,2021-07-06 14:00:00+02:00,28.8,42.9,0.8
Lêbork,2021-07-06 14:00:00+02:00,28.3,41.9,1.8
Lublin,2021-07-06 14:00:00+02:00,27.4,46.0,0.01
£eba,2021-07-06 14:00:00+02:00,24,67.2,0.5
£ódŸ,2021-07-06 14:00:00+02:00,27.5,44.9,0
Miko³ajki,2021-07-06 14:00:00+02:00,27.6,47.9,18.4
M³awa,2021-07-06 14:00:00+02:00,27.6,44.0,0.01
Nowy S¹cz,2021-07-06 14:00:00+02:00,28.8,39.9,0
Olsztyn,2021-07-06 14:00:00+02:00,27.3,44.0,0
Opole,2021-07-06 14:00:00+02:00,29.4,36.0,0.01
Ostro³êka,2021-07-06 13:00:00+02:00,27.1,46.9,6.6
Pi³a,2021-07-06 14:00:00+02:00,29.1,35.9,0
Platforma,2021-07-06 14:00:00+02:00,20.7,73.5,0
P³ock,2021-07-06 14:00:00+02:00,28.5,36.0,0
Poznañ,2021-07-06 14:00:00+02:00,28.8,38.1,1.3
Przemyœl,2021-07-06 14:00:00+02:00,27.2,47.8,0
Racibórz,2021-07-06 14:00:00+02:00,29,38.9,0.01
Resko,2021-07-06 14:00:00+02:00,27.4,47.9,0.2
Rzeszów,2021-07-06 14:00:00+02:00,28.6,31.9,0
Sandomierz,2021-07-06 14:00:00+02:00,28.2,45.9,0
Siedlce,2021-07-06 14:00:00+02:00,28.2,43.0,0
S³ubice,2021-07-06 14:00:00+02:00,29.1,36.9,0.8
Sulejów,2021-07-06 14:00:00+02:00,27.9,39.9,0.01
Suwa³ki,2021-07-06 14:00:00+02:00,24.7,70.4,17.1
Szczecin,2021-07-06 14:00:00+02:00,28.3,48.1,6
Szczecinek,2021-07-06 14:00:00+02:00,27.4,42.8,1.3
Œnie¿ka,2021-07-06 14:00:00+02:00,14.7,76.6,1.3
Œwinoujœcie,2021-07-06 14:00:00+02:00,29.1,47.0,23.2
Tarnów,2021-07-06 14:00:00+02:00,29.1,37.9,0
Terespol,2021-07-06 14:00:00+02:00,28.3,46.8,0
Toruñ,2021-07-06 14:00:00+02:00,29.2,35.0,0
Ustka,2021-07-06 14:00:00+02:00,23.5,75.3,7.1
Warszawa,2021-07-06 14:00:00+02:00,28,40.0,0
Wieluñ,2021-07-06 14:00:00+02:00,28.4,37.0,0
W³odawa,2021-07-06 14:00:00+02:00,28.7,46.0,0
Wroc³aw,2021-07-06 14:00:00+02:00,29.6,38.0,0.01
Zakopane,2021-07-06 14:00:00+02:00,24.9,51.2,0
Zamoœæ,2021-07-06 14:00:00+02:00,27.2,51.1,0
Zielona Góra,2021-07-06 14:00:00+02:00,27.8,44.1,0.01
Bia³ystok,2021-07-06 15:00:00+02:00,27.6,44.0,2.5
Bielsko Bia³a,2021-07-06 15:00:00+02:00,27.9,44.1,0
Chojnice,2021-07-06 15:00:00+02:00,27.7,39.1,0.01
Czêstochowa,2021-07-06 15:00:00+02:00,28.6,36.0,0
Elbl¹g,2021-07-06 15:00:00+02:00,25.6,53.1,15.5
Gdañsk,2021-07-06 15:00:00+02:00,27.5,48.9,1.4
Gorzów,2021-07-06 15:00:00+02:00,28.6,43.1,5
Hel,2021-07-06 15:00:00+02:00,25.6,70.1,0.01
Jelenia Góra,2021-07-06 15:00:00+02:00,28,41.0,2.1
Kalisz,2021-07-06 15:00:00+02:00,29.5,36.0,0.01
Kasprowy Wierch,2021-07-06 15:00:00+02:00,14.7,76.5,0.01
Katowice,2021-07-06 14:00:00+02:00,28.4,35.0,0
Kêtrzyn,2021-07-06 15:00:00+02:00,27.2,46.9,0.5
Kielce,2021-07-06 15:00:00+02:00,27.9,41.0,0
K³odzko,2021-07-06 15:00:00+02:00,27,50.0,0.01
Ko³o,2021-07-06 14:00:00+02:00,28.9,30.8,0
Ko³obrzeg,2021-07-06 15:00:00+02:00,28.6,40.9,6.1
Koszalin,2021-07-06 15:00:00+02:00,28.2,43.0,38.7
Kozienice,2021-07-06 15:00:00+02:00,28,48.0,0
Kraków,2021-07-06 15:00:00+02:00,28.9,44.0,0
Krosno,2021-07-06 15:00:00+02:00,27.7,39.9,0
Legnica,2021-07-06 15:00:00+02:00,29.9,36.8,0.01
Lesko,2021-07-06 15:00:00+02:00,26.8,45.0,0
Leszno,2021-07-06 15:00:00+02:00,29.2,41.0,0.8
Lêbork,2021-07-06 15:00:00+02:00,28,42.1,1.8
Lublin,2021-07-06 15:00:00+02:00,27.3,45.1,0.01
£eba,2021-07-06 15:00:00+02:00,24.5,72.2,0.5
£ódŸ,2021-07-06 15:00:00+02:00,28.2,43.9,0
Miko³ajki,2021-07-06 15:00:00+02:00,27.5,50.1,18.4
M³awa,2021-07-06 15:00:00+02:00,26.6,49.0,0.01
Nowy S¹cz,2021-07-06 15:00:00+02:00,29,41.0,0
Olsztyn,2021-07-06 15:00:00+02:00,26.4,47.1,0
Opole,2021-07-06 15:00:00+02:00,29.4,37.0,0.01
Ostro³êka,2021-07-06 14:00:00+02:00,28.5,42.2,6.6
Pi³a,2021-07-06 15:00:00+02:00,29.5,35.1,0
Platforma,2021-07-06 15:00:00+02:00,20.8,75.5,0
P³ock,2021-07-06 15:00:00+02:00,28.4,35.1,0
Poznañ,2021-07-06 15:00:00+02:00,29.2,38.9,1.3
Przemyœl,2021-07-06 15:00:00+02:00,27.5,46.1,0
Racibórz,2021-07-06 15:00:00+02:00,29.2,39.9,0.01
Resko,2021-07-06 15:00:00+02:00,27.7,47.0,0.2
Rzeszów,2021-07-06 14:00:00+02:00,28.6,31.9,0
Sandomierz,2021-07-06 15:00:00+02:00,27.9,45.0,0
Siedlce,2021-07-06 15:00:00+02:00,28.3,41.9,0
S³ubice,2021-07-06 15:00:00+02:00,29.2,36.9,0.8
Sulejów,2021-07-06 15:00:00+02:00,28.6,39.0,0.01
Suwa³ki,2021-07-06 15:00:00+02:00,25,70.4,17.1
Szczecin,2021-07-06 15:00:00+02:00,28.3,45.1,6
Szczecinek,2021-07-06 15:00:00+02:00,27.4,41.7,1.3
Œnie¿ka,2021-07-06 15:00:00+02:00,15.2,75.6,1.3
Œwinoujœcie,2021-07-06 15:00:00+02:00,29,45.8,23.2
Tarnów,2021-07-06 15:00:00+02:00,29.2,41.8,0
Terespol,2021-07-06 15:00:00+02:00,28.3,45.9,0
Toruñ,2021-07-06 15:00:00+02:00,29.1,35.9,0
Ustka,2021-07-06 15:00:00+02:00,23.5,73.4,7.1
Warszawa,2021-07-06 15:00:00+02:00,27.8,42.9,0
Wieluñ,2021-07-06 14:00:00+02:00,28.4,37.0,0
W³odawa,2021-07-06 15:00:00+02:00,28.3,46.8,0
Wroc³aw,2021-07-06 15:00:00+02:00,29.8,38.8,0.01
Zakopane,2021-07-06 15:00:00+02:00,25.1,50.9,0
Zamoœæ,2021-07-06 15:00:00+02:00,27,51.0,0
Zielona Góra,2021-07-06 15:00:00+02:00,27.8,42.9,0.01
Bia³ystok,2021-07-06 16:00:00+02:00,25.3,65.3,2.5
Bielsko Bia³a,2021-07-06 16:00:00+02:00,27.7,46.1,0
Chojnice,2021-07-06 16:00:00+02:00,27.3,40.1,0.01
Czêstochowa,2021-07-06 16:00:00+02:00,28.5,33.9,0
Elbl¹g,2021-07-06 16:00:00+02:00,25.6,54.2,15.5
Gdañsk,2021-07-06 16:00:00+02:00,27.1,53.1,1.4
Gorzów,2021-07-06 16:00:00+02:00,29.4,40.8,5
Hel,2021-07-06 16:00:00+02:00,25.7,70.1,0.01
Jelenia Góra,2021-07-06 16:00:00+02:00,28,42.1,2.1
Kalisz,2021-07-06 16:00:00+02:00,29.3,36.9,0.01
Kasprowy Wierch,2021-07-06 16:00:00+02:00,14.2,72.4,0.01
Katowice,2021-07-06 16:00:00+02:00,28.5,39.0,0
Kêtrzyn,2021-07-06 16:00:00+02:00,27.1,46.9,0.5
Kielce,2021-07-06 16:00:00+02:00,27.7,41.0,0
K³odzko,2021-07-06 16:00:00+02:00,26.7,48.0,0.01
Ko³o,2021-07-06 16:00:00+02:00,28.8,32.0,0
Ko³obrzeg,2021-07-06 16:00:00+02:00,28.1,45.0,6.1
Koszalin,2021-07-06 16:00:00+02:00,28.4,40.9,38.7
Kozienice,2021-07-06 16:00:00+02:00,28.1,45.0,0
Kraków,2021-07-06 16:00:00+02:00,28.6,49.1,0
Krosno,2021-07-06 16:00:00+02:00,27.2,41.9,0
Legnica,2021-07-06 16:00:00+02:00,29.7,38.0,0.01
Lesko,2021-07-06 16:00:00+02:00,26.4,50.9,0
Leszno,2021-07-06 16:00:00+02:00,29.1,41.0,0.8
Lêbork,2021-07-06 16:00:00+02:00,28.2,41.1,1.8
Lublin,2021-07-06 16:00:00+02:00,28,43.0,0.01
£eba,2021-07-06 16:00:00+02:00,24.8,74.5,0.5
£ódŸ,2021-07-06 16:00:00+02:00,28.1,43.8,0
Miko³ajki,2021-07-06 16:00:00+02:00,27.1,46.9,18.4
M³awa,2021-07-06 16:00:00+02:00,27.3,43.1,0.01
Nowy S¹cz,2021-07-06 16:00:00+02:00,28.7,42.0,0
Olsztyn,2021-07-06 16:00:00+02:00,27,44.2,0
Opole,2021-07-06 16:00:00+02:00,29.4,36.0,0.01
Ostro³êka,2021-07-06 16:00:00+02:00,28.2,41.9,6.6
Pi³a,2021-07-06 16:00:00+02:00,29.3,36.0,0
Platforma,2021-07-06 16:00:00+02:00,21.2,75.5,0
P³ock,2021-07-06 16:00:00+02:00,28.3,36.0,0
Poznañ,2021-07-06 16:00:00+02:00,29.5,38.0,1.3
Przemyœl,2021-07-06 16:00:00+02:00,27.5,43.1,0
Racibórz,2021-07-06 16:00:00+02:00,29.2,39.9,0.01
Resko,2021-07-06 16:00:00+02:00,27.7,48.9,0.2
Rzeszów,2021-07-06 16:00:00+02:00,28,41.0,0
Sandomierz,2021-07-06 16:00:00+02:00,27.7,44.0,0
Siedlce,2021-07-06 16:00:00+02:00,27.9,44.1,0
S³ubice,2021-07-06 16:00:00+02:00,29.2,36.9,0.8
Sulejów,2021-07-06 16:00:00+02:00,28.1,43.0,0.01
Suwa³ki,2021-07-06 16:00:00+02:00,24.6,69.5,17.1
Szczecin,2021-07-06 16:00:00+02:00,28.5,43.9,6
Szczecinek,2021-07-06 16:00:00+02:00,27.1,43.1,1.3
Œnie¿ka,2021-07-06 16:00:00+02:00,15.6,72.7,1.3
Œwinoujœcie,2021-07-06 16:00:00+02:00,27.9,49.9,23.2
Tarnów,2021-07-06 16:00:00+02:00,28.8,40.9,0
Terespol,2021-07-06 16:00:00+02:00,28.3,50.0,0
Toruñ,2021-07-06 16:00:00+02:00,29.2,35.0,0
Ustka,2021-07-06 16:00:00+02:00,23.6,72.5,7.1
Warszawa,2021-07-06 16:00:00+02:00,27,46.0,0
Wieluñ,2021-07-06 16:00:00+02:00,28.2,40.0,0
W³odawa,2021-07-06 16:00:00+02:00,28.2,41.9,0
Wroc³aw,2021-07-06 16:00:00+02:00,29.8,38.0,0.01
Zakopane,2021-07-06 16:00:00+02:00,23.9,54.1,0
Zamoœæ,2021-07-06 16:00:00+02:00,27.2,51.1,0
Zielona Góra,2021-07-06 16:00:00+02:00,28.4,43.0,0.01
Bia³ystok,2021-07-06 17:00:00+02:00,24.9,69.1,2.5
Bielsko Bia³a,2021-07-06 16:00:00+02:00,27.7,46.1,0
Chojnice,2021-07-06 17:00:00+02:00,27.4,40.9,0.01
Czêstochowa,2021-07-06 16:00:00+02:00,28.5,33.9,0
Elbl¹g,2021-07-06 17:00:00+02:00,25.3,54.1,15.5
Gdañsk,2021-07-06 17:00:00+02:00,26.6,59.1,1.4
Gorzów,2021-07-06 17:00:00+02:00,27.9,47.1,5
Hel,2021-07-06 17:00:00+02:00,24.5,73.6,0.01
Jelenia Góra,2021-07-06 17:00:00+02:00,27.6,42.9,2.1
Kalisz,2021-07-06 17:00:00+02:00,28.8,38.1,0.01
Kasprowy Wierch,2021-07-06 17:00:00+02:00,13.5,76.4,0.01
Katowice,2021-07-06 17:00:00+02:00,28,42.9,0
Kêtrzyn,2021-07-06 17:00:00+02:00,26.7,47.1,0.5
Kielce,2021-07-06 17:00:00+02:00,26.8,44.1,0
K³odzko,2021-07-06 17:00:00+02:00,25.9,58.2,0.01
Ko³o,2021-07-06 16:00:00+02:00,28.8,32.0,0
Ko³obrzeg,2021-07-06 17:00:00+02:00,26.6,51.0,6.1
Koszalin,2021-07-06 17:00:00+02:00,28.4,43.9,38.7
Kozienice,2021-07-06 17:00:00+02:00,27.5,47.9,0
Kraków,2021-07-06 17:00:00+02:00,27.9,49.9,0
Krosno,2021-07-06 17:00:00+02:00,26.6,45.0,0
Legnica,2021-07-06 17:00:00+02:00,29.3,40.0,0.01
Lesko,2021-07-06 17:00:00+02:00,25.8,54.2,0
Leszno,2021-07-06 17:00:00+02:00,28.8,42.0,0.8
Lublin,2021-07-06 17:00:00+02:00,27.1,46.9,0.01
£eba,2021-07-06 17:00:00+02:00,26.1,66.2,0.5
£ódŸ,2021-07-06 17:00:00+02:00,28,44.1,0
Miko³ajki,2021-07-06 17:00:00+02:00,26.9,50.0,18.4
M³awa,2021-07-06 17:00:00+02:00,26.9,45.9,0.01
Nowy S¹cz,2021-07-06 17:00:00+02:00,27.8,44.9,0
Olsztyn,2021-07-06 17:00:00+02:00,27.2,46.0,0
Opole,2021-07-06 17:00:00+02:00,29,36.9,0.01
Ostro³êka,2021-07-06 16:00:00+02:00,28.2,41.9,6.6
Pi³a,2021-07-06 17:00:00+02:00,29,35.9,0
Platforma,2021-07-06 17:00:00+02:00,21.4,74.6,0
P³ock,2021-07-06 17:00:00+02:00,27.5,40.9,0
Poznañ,2021-07-06 17:00:00+02:00,29.1,37.9,1.3
Przemyœl,2021-07-06 17:00:00+02:00,26.6,49.0,0
Racibórz,2021-07-06 17:00:00+02:00,28.6,43.9,0.01
Resko,2021-07-06 17:00:00+02:00,26.5,54.0,0.2
Rzeszów,2021-07-06 17:00:00+02:00,27.3,47.9,0
Sandomierz,2021-07-06 17:00:00+02:00,27.3,43.1,0
Siedlce,2021-07-06 17:00:00+02:00,27.8,44.9,0
S³ubice,2021-07-06 17:00:00+02:00,28.3,40.0,0.8
Sulejów,2021-07-06 17:00:00+02:00,27.7,44.0,0.01
Suwa³ki,2021-07-06 17:00:00+02:00,24.3,71.2,17.1
Szczecin,2021-07-06 17:00:00+02:00,26.7,52.0,6
Szczecinek,2021-07-06 17:00:00+02:00,26.3,53.6,1.3
Œnie¿ka,2021-07-06 16:00:00+02:00,15.6,72.7,1.3
Œwinoujœcie,2021-07-06 17:00:00+02:00,27.1,52.1,23.2
Tarnów,2021-07-06 17:00:00+02:00,28.2,41.1,0
Terespol,2021-07-06 17:00:00+02:00,27.4,57.0,0
Toruñ,2021-07-06 17:00:00+02:00,28.9,35.9,0
Ustka,2021-07-06 16:00:00+02:00,23.6,72.5,7.1
Warszawa,2021-07-06 17:00:00+02:00,27.4,47.0,0
Wieluñ,2021-07-06 17:00:00+02:00,27.8,39.9,0
W³odawa,2021-07-06 17:00:00+02:00,27.8,50.9,0
Wroc³aw,2021-07-06 17:00:00+02:00,29.5,40.8,0.01
Zakopane,2021-07-06 17:00:00+02:00,24.6,54.2,0
Zamoœæ,2021-07-06 17:00:00+02:00,26.5,60.2,0
Zielona Góra,2021-07-06 17:00:00+02:00,28.1,45.0,0.01
Bia³ystok,2021-07-06 18:00:00+02:00,23.5,74.4,2.5
Bielsko Bia³a,2021-07-06 18:00:00+02:00,26.5,49.9,0
Chojnice,2021-07-06 18:00:00+02:00,26.7,45.0,0.01
Czêstochowa,2021-07-06 18:00:00+02:00,26.2,44.0,0
